morbidity,diseaseId,diseaseName,specificDiseaseId,specificDiseaseName,therapeuticAreas,description
hypertension,EFO_0000537,hypertension,EFO_1001031,malignant hypertension,['EFO_0000319'],"A condition of markedly elevated BLOOD PRESSURE with DIASTOLIC PRESSURE usually greater than 120 mm Hg. Malignant hypertension is characterized by widespread vascular damage, PAPILLEDEMA, retinopathy, HYPERTENSIVE ENCEPHALOPATHY, and renal dysfunction."
hypertension,EFO_0000537,hypertension,EFO_0009200,Eisenmenger syndrome,"['OTAR_0000010', 'EFO_0000319']",Eisenmenger syndrome (ES) is an form of pulmonary arterial hypertension (PAH) associated with unoperated congenital heart disease and is characterized by congenital heart malformations (see these terms) with reversed or bi-directional shunting through an intra-cardiac or intervascular (usually aorto-pulmonary) communication with the development of PAH.
hypertension,EFO_0000537,hypertension,EFO_1001153,renovascular hypertension,"['EFO_0009690', 'EFO_0000319']",Hypertension due to RENAL ARTERY OBSTRUCTION or compression.
hypertension,EFO_0000537,hypertension,EFO_0001361,pulmonary arterial hypertension,"['OTAR_0000010', 'EFO_0000319']","Pulmonary arterial hypertension (PAH) is a group of diseases characterized by elevated pulmonary arterial resistance leading to right heart failure. PAH is progressive and potentially fatal. PAH may be idiopathic and/ or familial, or induced by drug or toxin (drug-or toxin-induced PAH) or associated with other diseases like congenital heart disease, connective tissue disease, HIV, schistosomiasis, portal hypertension (PAH associated with other disease)."
hypertension,EFO_0000537,hypertension,EFO_1000976,hypertensive encephalopathy,"['EFO_0005741', 'EFO_0000618', 'EFO_0000319']",Encephalopathy resulting from hypertension.
hypertension,EFO_0000537,hypertension,EFO_1002039,renal hypertension,"['EFO_0009690', 'EFO_0000319']",Hypertension caused by narrowing or occlusion of the renal arteries.
hypertension,EFO_0000537,hypertension,MONDO_0000959,malignant hypertensive renal disease,"['EFO_0009690', 'EFO_0000319']",
hypertension,EFO_0000537,hypertension,EFO_1001069,ocular hypertension,"['MONDO_0024458', 'EFO_0000319']",Abnormally high intraocular pressure.
hypertension,EFO_0000537,hypertension,EFO_0009193,Pulmonary arterial hypertension associated with another disease,"['OTAR_0000010', 'EFO_0000319']","Pulmonary arterial hypertension associated with another disease is a group of conditions that lead to PAH; connective tissue diseases (lupus erythematosus, systemic sclerosis and mixed connective tissues disease), congenital heart disease (Eisenmenger syndrome), HIV infection, portal hypertension, schistosomiasis and chronic hemolytic anemia, which is characterized by elevated pulmonary arterial resistance leading to right heart failure that is progressive and potentially fatal."
hypertension,EFO_0000537,hypertension,EFO_0009192,Drug- or toxin-induced pulmonary arterial hypertension,"['OTAR_0000010', 'EFO_0000319']","Drug- or toxin-induced pulmonary arterial hypertension (PAH) is a form of pulmonary arterial hypertension (PAH, see this term) secondary to the exposition to drugs. Drug- or toxin-induced PAH is characterized by elevated pulmonary arterial resistance leading to right heart failure. Drug or toxin induced PAH is progressive and potentially fatal."
hypertension,EFO_0000537,hypertension,EFO_0009195,Pulmonary arterial hypertension associated with chronic hemolytic anemia,"['OTAR_0000010', 'EFO_0000319']",Pulmonary arterial hypertension associated with chronic hemolytic anemia (PAH-CHA) is a form of PAH characterized by an elevated pulmonary arterial resistance leading to right heart failure observed as a complication of chronic hemolytic anemia.
hypertension,EFO_0000537,hypertension,EFO_0009194,Pulmonary arterial hypertension associated with HIV infection,"['OTAR_0000010', 'EFO_0000319']","Pulmonary arterial hypertension (PAH, see this entry) associated with HIV infection (PAH-HIV) is a form of PAH characterized by elevated pulmonary arterial resistance leading to right heart failure observed as a complication of HIV infection."
hypertension,EFO_0000537,hypertension,EFO_0009197,Pulmonary arterial hypertension associated with portal hypertension,"['OTAR_0000010', 'EFO_0000319']","Pulmonary arterial hypertension associated with portal hypertension (PAH-PH) is a form of pulmonary arterial hypertension (PAH), characterized by an elevated pulmonary arterial resistance leading to right heart failure observed as a complication of portal hypertension."
hypertension,EFO_0000537,hypertension,EFO_0009196,Pulmonary arterial hypertension associated with connective tissue disease,"['OTAR_0000010', 'EFO_0000319']","Pulmonary arterial hypertension (PAH, see this term) associated with connective tissue disease (PAH-CTD) is a form of pulmonary arterial hypertension (PAH, see this term) characterized by an elevated pulmonary arterial resistance leading to right heart failure observed as a complication of a connective tissue disease."
hypertension,EFO_0000537,hypertension,EFO_0009199,Pulmonary veno-occlusive disease and/or pulmonary capillary haemangiomatosis,"['OTAR_0000010', 'EFO_0000319']",Pulmonary veno-occlusive disease and/or pulmonary capillary hemangiomatosis (PVOD and/or PCH) constitutes a rare subgroup of pulmonary arterial hypertension (PAH; see this term) characterized by obliterative fibrosis of the small pulmonary veins and venules and/or capillary infiltration of the pulmonary interstitium leading to increased pulmonary vascular resistance and right ventricular dysfunction.
hypertension,EFO_0000537,hypertension,EFO_0009198,Pulmonary arterial hypertension associated with schistosomiasis,"['OTAR_0000010', 'EFO_0000319']","Pulmonary arterial hypertension associated with schistosomiasis (PAHS) is a form of pulmonary arterial hypertension (see this term) characterized by an elevated pulmonary arterial resistance leading to right heart failure, observed as a complication of a chronic schistosomiasis (see this term)."
hypertension,EFO_0000537,hypertension,EFO_1002006,treatment-resistant hypertension,['EFO_0000319'],high blood pressure that remains above treatment goals in spite of the concurrent use of three antihypertensive agents from different classes
hypertension,EFO_0000537,hypertension,EFO_0005942,chemotherapy-induced hypertension,['EFO_0000319'],A form of hypertension that occurs as a direct result of chemotherapy treatment
hypertension,EFO_0000537,hypertension,MONDO_0001784,malignant renovascular hypertension,"['EFO_0009690', 'EFO_0000319']",
hypertension,EFO_0000537,hypertension,MONDO_0001785,malignant secondary hypertension,['EFO_0000319'],
hypertension,EFO_0000537,hypertension,EFO_1001132,pseudotumor cerebri,"['EFO_0000618', 'EFO_0000319']","A condition marked by raised intracranial pressure and characterized clinically by HEADACHES; NAUSEA; PAPILLEDEMA, peripheral constriction of the visual fields, transient visual obscurations, and pulsatile TINNITUS. OBESITY is frequently associated with this condition, which primarily affects women between 20 and 44 years of age. Chronic PAPILLEDEMA may lead to optic nerve injury (see OPTIC NERVE DISEASES) and visual loss (see BLINDNESS)."
hypertension,EFO_0000537,hypertension,MONDO_0005149,pulmonary hypertension,['EFO_0000319'],Increased pressure within the pulmonary circulation due to lung or heart disorder.
hypertension,EFO_0000537,hypertension,EFO_1000041,nephrosclerosis,"['EFO_0009690', 'EFO_0000319']","Hardening of the kidney due to infiltration by fibrous connective tissue (fibrosis), usually caused by renovascular diseases or chronic hypertension. Nephrosclerosis leads to renal ischemia."
hypertension,EFO_0000537,hypertension,EFO_0004772,early onset hypertension,['EFO_0000319'],A form of hypertension with early onset relative to normal range for a given population.
hypertension,EFO_0000537,hypertension,EFO_1000992,intracranial hypertension,"['EFO_0000618', 'EFO_0000319']",A finding characterized by increased cerebrospinal fluid pressure within the skull.
obesity,EFO_0001073,obesity,HP_0001956,Truncal obesity,"['MONDO_0024297', 'EFO_0000651']",Obesity located preferentially in the trunk of the body as opposed to the extremities.
obesity,EFO_0001073,obesity,EFO_0001074,morbid obesity,['MONDO_0024297'],"Extreme form of obesity where body bass index is 40 or more, which is roughly equivalent to 100 pounds or more over ideal body weight."
obesity,EFO_0001073,obesity,EFO_0009382,metabolically healthy obesity,['MONDO_0024297'],Long-standing obesity without metbolic abnormalities or obesity-related comorbidities such as type 2 diabetes or heart disease
alzheimers disease,EFO_0000249,Alzheimer's disease,MONDO_0100087,familial Alzheimer disease,"['MONDO_0002025', 'EFO_0000618']","A degenerative disease of the brain that causes gradual loss of memory, judgment, and the ability to function socially. About 25% of all Alzheimer disease is familial (more than 2 people in a family have AD). When Alzheimer disease begins before 60 or 65 years of age (early-onset AD) about 60% of the cases are familial (also known as Early-onset familial AD). These cases appear to be inherited in an autosomal dominant manner."
alzheimers disease,EFO_0000249,Alzheimer's disease,EFO_1001870,late-onset Alzheimers disease,"['MONDO_0002025', 'EFO_0000618']","This is the most common form of the disease, which happens to people age 65 and older. It may or may not run in families. So far, researchers haven’t found a particular gene that causes it. No one knows for sure why some people get it and others don’t."
longevity,EFO_0004300,longevity,EFO_0007796,parental longevity,['EFO_0001444'],"length of an individual's parents' life, either taken individually (paternal or maternal longevity) or in combination and sometimes used as an indicator of an individual longevity"
glaucoma,EFO_0000516,glaucoma,EFO_1001022,low tension glaucoma,"['EFO_0000618', 'MONDO_0024458']",A form of GLAUCOMA in which chronic optic nerve damage and loss of vision normally attributable to buildup of intraocular pressure occurs despite prevailing conditions of normal intraocular pressure.
glaucoma,EFO_0000516,glaucoma,EFO_1001060,neovascular glaucoma,['MONDO_0024458'],A form of secondary glaucoma which develops as a consequence of another ocular disease and is attributed to the forming of new vessels in the angle of the anterior chamber.
glaucoma,EFO_0000516,glaucoma,EFO_0004190,open-angle glaucoma,['MONDO_0024458'],Glaucoma in which the angle of the anterior chamber is open and the trabecular meshwork does not encroach on the base of the iris.
glaucoma,EFO_0000516,glaucoma,EFO_1001506,primary angle closure glaucoma,['MONDO_0024458'],"A type of glaucoma with optic nerve damage in an eye that has evidence of angle closure and in which there is no evidence of a secondary cause. Evidence of optic nerve damage can include s optic disc abnormalities (Vertical cup:disc ratio over the 97. 5th percentile in the normal population), visual field defects. The role of increased intraocular pressure (IOP) in glaucoma is debated, but an IOP exceeding the 99. 5th percentile of the normal population may be considered to support the diagnosis."
glaucoma,EFO_0000516,glaucoma,MONDO_0001554,phacogenic glaucoma,['MONDO_0024458'],Secondary glaucoma caused by either excessive size or spheric shape of the lens.
glaucoma,EFO_0000516,glaucoma,MONDO_0001744,angle-closure glaucoma,['MONDO_0024458'],"The sudden increase of intraocular pressure, resulting in pain and an abrupt decrease in visual acuity."
type 2 diabetes,EFO_0001360,type II diabetes mellitus,EFO_0007346,lipoatrophic diabetes,"['MONDO_0024297', 'EFO_0001379', 'EFO_0009605', 'EFO_0010282']",A type 2 diabetes that involves severe lipodystrophy in addition to the traditional signs of diabetes.
type 2 diabetes,EFO_0001360,type II diabetes mellitus,EFO_1001503,type II diabetes mellitus with acanthosis nigricans,"['MONDO_0024297', 'EFO_0001379', 'EFO_0009605', 'EFO_0010282']",acanthosis nigricans (AN) in type 2 diabetes mellitus (T2DM)
osteoporosis,EFO_0003882,osteoporosis,EFO_0003854,postmenopausal osteoporosis,['OTAR_0000006'],"Metabolic disorder associated with fractures of the femoral neck, vertebrae, and distal forearm. It occurs commonly in women within 15-20 years after menopause, and is caused by factors associated with menopause including estrogen deficiency."
stroke,EFO_0000712,stroke,EFO_1001504,small vessel stroke,"['EFO_0000618', 'EFO_0000319']",stroke caused by the blockage of blood flow in one of the small blood vessels in the brain
stroke,EFO_0000712,stroke,EFO_0005524,large artery stroke,"['EFO_0000618', 'EFO_0000319']",stroke caused by the blockage of blood flow in one of the large arteries feeding the brain
stroke,EFO_0000712,stroke,EFO_1001976,cardioembolic stroke,"['EFO_0000618', 'EFO_0000319']",stroke caused by the blockage of blood flow in a brain vessel through a clot or other foreign matters pumped from the heart to the brain
stroke,EFO_0000712,stroke,EFO_1001426,Spinal Cord Ischemia,"['EFO_0000618', 'EFO_0000319']","Reduced blood flow to the spinal cord which is supplied by the anterior spinal artery and the paired posterior spinal arteries. This condition may be associated with ARTERIOSCLEROSIS, trauma, emboli, diseases of the aorta, and other disorders. Prolonged ischemia may lead to INFARCTION of spinal cord tissue."
chronic pain,HP_0012532,Chronic pain,EFO_0010100,multisite chronic pain,['EFO_0000651'],A chronic pain phenotype that is defined as the number of sites on the body at which chronic pain is experienced.
chronic pain,HP_0012532,Chronic pain,EFO_0010099,chronic widespread pain,['EFO_0000651'],Chronic pain that is felt all over the body.
adiponectin measurement,EFO_0004502,adiponectin measurement,EFO_0007737,BMI-adjusted adiponectin measurement,['EFO_0001444'],Adiponection measurement that has been adjusted by subjects’ body mass index by performing linear regressions for adiponectin against BMI 
lipid measurement,EFO_0004529,lipid measurement,EFO_0010366,lysophosphatidylethanolamine 16:0 measurement,['EFO_0001444'],The quantification of lysophosphatidylethanolamine 16:0 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010365,lysophosphatidylcholine 22:6 measurement,['EFO_0001444'],The quantification of lysophosphatidylcholine 22:6 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010364,lysophosphatidylcholine 20:5 measurement,['EFO_0001444'],The quantification of lysophosphatidylcholine 20:5 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010363,lysophosphatidylcholine 20:4 measurement,['EFO_0001444'],The quantification of lysophosphatidylcholine 20:4 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0007630,glycerophospholipid measurement,['EFO_0001444'],"Is a quantification, typically in blood, of glycerophospholipids, a group of glycerol-based phospholipids"
lipid measurement,EFO_0004529,lipid measurement,EFO_0010403,triacylglycerol 48:0 measurement,['EFO_0001444'],"The quantification of triacylglycerol 48:0 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010369,lysophosphatidylethanolamine 18:2 measurement,['EFO_0001444'],The quantification of lysophosphatidylethanolamine 18:2 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010402,triacylglycerol 46:2 measurement,['EFO_0001444'],"The quantification of triacylglycerol 46:2 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010368,lysophosphatidylethanolamine 18:1 measurement,['EFO_0001444'],The quantification of lysophosphatidylethanolamine 18:1 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010401,triacylglycerol 46:1 measurement,['EFO_0001444'],"The quantification of triacylglycerol 46:1 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010367,lysophosphatidylethanolamine 18:0 measurement,['EFO_0001444'],The quantification of lysophosphatidylethanolamine 18:0 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010400,triacylglycerol 46:0 measurement,['EFO_0001444'],"The quantification of triacylglycerol 46:0 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010407,triacylglycerol 48:4 measurement,['EFO_0001444'],"The quantification of triacylglycerol 48:4 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010406,triacylglycerol 48:3 measurement,['EFO_0001444'],"The quantification of triacylglycerol 48:3 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010405,triacylglycerol 48:2 measurement,['EFO_0001444'],"The quantification of triacylglycerol 48:2 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010404,triacylglycerol 48:1 measurement,['EFO_0001444'],"The quantification of triacylglycerol 48:1 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010409,triacylglycerol 50:2 measurement,['EFO_0001444'],"The quantification of triacylglycerol 50:2 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010408,triacylglycerol 50:1 measurement,['EFO_0001444'],"The quantification of triacylglycerol 50:1 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0004639,phospholipid measurement,['EFO_0001444'],"Is a quantification of phospholipids, typically in blood used as a biomarker in diet studies."
lipid measurement,EFO_0004529,lipid measurement,EFO_0006810,oleic acid measurement,['EFO_0001444'],The determination of the amount of oleic acid present in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0008317,very low density lipoprotein cholesterol measurement,['EFO_0001444'],quantification of the amount of very low density lipoprotein cholesterol in a sample
lipid measurement,EFO_0004529,lipid measurement,EFO_0005689,non-high density lipoprotein cholesterol measurement,['EFO_0001444'],"The quantification of NHDL cholesterol in blood, calculated by subtracting the amount of cholesterol in the HDL fraction from total cholesterol and used as an indicator for cardiovascular disease risk"
lipid measurement,EFO_0004529,lipid measurement,EFO_0006811,linolenic acid measurement,['EFO_0001444'],The determination of the amount of linolenic acid present in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010373,phosphatidylcholine 32:1 measurement,['EFO_0001444'],The quantification of phosphatidylcholine 32:1 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010372,phosphatidylcholine 32:0 measurement,['EFO_0001444'],The quantification of phosphatidylcholine 32:0 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010492,glycocholic acid measurement,['EFO_0001444'],Quantification of glycocholic acid levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010371,lysophosphatidylethanolamine 22:6 measurement,['EFO_0001444'],The quantification of lysophosphatidylethanolamine 22:6 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010370,lysophosphatidylethanolamine 20:4 measurement,['EFO_0001444'],The quantification of lysophosphatidylethanolamine 20:4 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010377,phosphatidylcholine 34:3 measurement,['EFO_0001444'],The quantification of phosphatidylcholine 34:3 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0005680,omega-6 polyunsaturated fatty acid measurement,['EFO_0001444'],The determination of the amount of omega-6 polyunsaturated fatty acids present in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010410,triacylglycerol 50:3 measurement,['EFO_0001444'],"The quantification of triacylglycerol 50:3 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010376,phosphatidylcholine 34:2 measurement,['EFO_0001444'],The quantification of phosphatidylcholine 34:2 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010375,phosphatidylcholine 34:1 measurement,['EFO_0001444'],The quantification of phosphatidylcholine 34:1 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010374,phosphatidylcholine 32:2 measurement,['EFO_0001444'],The quantification of phosphatidylcholine 32:2 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010414,triacylglycerol 52:2 measurement,['EFO_0001444'],"The quantification of triacylglycerol 52:2 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010413,triacylglycerol 52:1 measurement,['EFO_0001444'],"The quantification of triacylglycerol 52:1 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010379,phosphatidylcholine 36:1 measurement,['EFO_0001444'],The quantification of phosphatidylcholine 36:1 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010412,triacylglycerol 50:5 measurement,['EFO_0001444'],"The quantification of triacylglycerol 50:5 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010378,phosphatidylcholine 34:4 measurement,['EFO_0001444'],The quantification of phosphatidylcholine 34:4 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010411,triacylglycerol 50:4 measurement,['EFO_0001444'],"The quantification of triacylglycerol 50:4 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010418,triacylglycerol 52:6 measurement,['EFO_0001444'],"The quantification of triacylglycerol 52:6 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010417,triacylglycerol 52:5 measurement,['EFO_0001444'],"The quantification of triacylglycerol 52:5 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010416,triacylglycerol 52:4 measurement,['EFO_0001444'],"The quantification of triacylglycerol 52:4 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010415,triacylglycerol 52:3 measurement,['EFO_0001444'],"The quantification of triacylglycerol 52:3 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0010419,triacylglycerol 54:1 measurement,['EFO_0001444'],"The quantification of triacylglycerol 54:1 levels in some body fluid, used as a biomarker for disease."
lipid measurement,EFO_0004529,lipid measurement,EFO_0006807,linoleic acid measurement,['EFO_0001444'],The determination of the amount of linoleic acid present in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0006808,arachidonic acid measurement,['EFO_0001444'],The determination of the amount of arachidonic acid present in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0006809,docosapentaenoic acid measurement,['EFO_0001444'],The determination of the amount of docosapentaenoic acid present in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0004622,sphingolipid measurement,['EFO_0001444'],Is a quantification of sphingolipids - molecules playing a role in signal transmission.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010380,phosphatidylcholine 36:2 measurement,['EFO_0001444'],The quantification of phosphatidylcholine 36:2 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0007977,nervonic acid measurement,['EFO_0001444'],The determination of the amount of nervonic acid present in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0007976,erucic acid measurement,['EFO_0001444'],The determination of the amount of erucic acid present in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010384,phosphatidylcholine 38:2 measurement,['EFO_0001444'],The quantification of phosphatidylcholine 38:2 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010383,phosphatidylcholine 36:5 measurement,['EFO_0001444'],The quantification of phosphatidylcholine 36:5 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010382,phosphatidylcholine 36:4 measurement,['EFO_0001444'],The quantification of phosphatidylcholine 36:4 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010381,phosphatidylcholine 36:3 measurement,['EFO_0001444'],The quantification of phosphatidylcholine 36:3 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010344,cholesteryl ester 18:1 measurement,['EFO_0001444'],The quantification of cholesteryl ester 18:1 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010223,diglyceride measurement,['EFO_0001444'],A quantification of diglycerides.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010343,cholesteryl ester 18:0 measurement,['EFO_0001444'],The quantification of cholesteryl ester 18:0 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010222,ceramide measurement,['EFO_0001444'],A quantification of ceramides.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010342,cholesteryl ester 16:1 measurement,['EFO_0001444'],The quantification of cholesteryl ester 16:1 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010341,cholesteryl ester 16:0 measurement,['EFO_0001444'],The quantification of cholesteryl ester 16:0 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010348,cholesteryl ester 20:4 measurement,['EFO_0001444'],The quantification of cholesteryl ester 20:4 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010227,phosphatidylcholine ether measurement,['EFO_0001444'],A quantification of phosphatidylcholine ethers.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010347,cholesteryl ester 20:3 measurement,['EFO_0001444'],The quantification of cholesteryl ester 20:3 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010226,phosphatidylcholine measurement,['EFO_0001444'],A quantification of phosphatidylcholines.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010346,cholesteryl ester 18:3 measurement,['EFO_0001444'],The quantification of cholesteryl ester 18:3 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010225,lysophosphatidylethanolamine measurement,['EFO_0001444'],A quantification of lysophosphatidylethanolamines.
lipid measurement,EFO_0004529,lipid measurement,EFO_0007931,non-HDL cholesterol:HDL cholesterol ratio,['EFO_0001444'],quantification of the ratio of non-HDL cholesterol to HDL cholesterol in a sample
lipid measurement,EFO_0004529,lipid measurement,EFO_0010345,cholesteryl ester 18:2 measurement,['EFO_0001444'],The quantification of cholesteryl ester 18:2 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010224,lysophosphatidylcholine measurement,['EFO_0001444'],A quantification of lysophosphatidylcholines.
lipid measurement,EFO_0004529,lipid measurement,EFO_0007930,LDL cholesterol:HDL cholesterol ratio,['EFO_0001444'],quantification of the ratio of LDL cholesterol to HDL cholesterol in a sample
lipid measurement,EFO_0004529,lipid measurement,EFO_0010229,phosphatidylethanolamine ether measurement,['EFO_0001444'],A quantification of phosphatidylethanolamine ethers.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010349,cholesteryl ester 20:5 measurement,['EFO_0001444'],The quantification of cholesteryl ester 20:5 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010228,phosphatidylethanolamine measurement,['EFO_0001444'],A quantification of phosphatidylethanolamines.
lipid measurement,EFO_0004529,lipid measurement,EFO_0005110,fatty acid measurement,['EFO_0001444'],The determination of the amount of fatty acids present in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0007929,triglyceride:HDL cholesterol ratio,['EFO_0001444'],quantification of the ratio of  triglyceride to HDL cholesterol in a sample
lipid measurement,EFO_0004529,lipid measurement,EFO_0009946,low density lipoprotein triglyceride measurement,['EFO_0001444'],A quantification of triglycerides contained in low density lipoproteins.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010351,cholesteryl ester measurement,['EFO_0001444'],The quantification of cholesteryl ester levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010230,phosphatidylinositol measurement,['EFO_0001444'],A quantification of phosphatidylinositols.
lipid measurement,EFO_0004529,lipid measurement,EFO_0007804,LDL cholesterol change measurement,['EFO_0001444'],"quantification of the change in LDL cholesterol levels in an individual over time, eg over the course of several hours after a high-fat meal or following treatment with a cholesterol-lowering drug"
lipid measurement,EFO_0004529,lipid measurement,EFO_0010350,cholesteryl ester 22:6 measurement,['EFO_0001444'],The quantification of cholesteryl ester 22:6 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0007805,HDL cholesterol change measurement,['EFO_0001444'],"quantification of the change in HDL cholesterol levels in an individual over time, eg over the course of several hours after a high-fat meal or following treatment with a cholesterol-lowering drug"
lipid measurement,EFO_0004529,lipid measurement,EFO_0010355,diacylglycerol 36:2 measurement,['EFO_0001444'],The quantification of diacylglycerol 36:2 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010354,diacylglycerol 36:1 measurement,['EFO_0001444'],The quantification of diacylglycerol 36:1 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0007760,eicosapentaenoic acid measurement,['EFO_0001444'],The determination of the amount of eicosapentaenoic acid present in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010353,diacylglycerol 34:2 measurement,['EFO_0001444'],The quantification of diacylglycerol 34:2 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0007761,docosahexaenoic acid measurement,['EFO_0001444'],The determination of the amount of docosahexaenoic acid present in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010231,sterol measurement,['EFO_0001444'],A quantification of sterols.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010352,diacylglycerol 34:1 measurement,['EFO_0001444'],The quantification of diacylglycerol 34:1 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0007762,gamma-linolenic acid measurement,['EFO_0001444'],The determination of the amount of gamma-linolenic acid present in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010359,lysophosphatidylcholine 18:0 measurement,['EFO_0001444'],The quantification of lysophosphatidylcholine 18:0 levels in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0007763,dihomo-gamma-linolenic acid measurement,['EFO_0001444'],The determination of the amount of dihomo-gamma-linolenic acid present in a sample.
lipid measurement,EFO_0004529,lipid measurement,EFO_0010358,lysophosphatidylcholine 16:1 measurement,['EFO_0001444'],The quantification of lysophosphatidylcholine 16:1 levels in a sample.
