GenAge ID,symbol,name,organism,entrez gene id,avg lifespan change (max obsv),lifespan effect,longevity influence
1138,RMD8,Required for Meiotic nuclear Division,Saccharomyces cerevisiae,850609,,Decrease,Unannotated
1139,RMD9,Required for Meiotic nuclear Division,Saccharomyces cerevisiae,852771,,Decrease,Unannotated
1140,RPN4,Regulatory Particle Non-ATPase,Saccharomyces cerevisiae,851542,40,Decrease,Unannotated
1141,RPS21B,Ribosomal Protein of the Small subunit,Saccharomyces cerevisiae,853305,20,Decrease,Unannotated
1142,RRD2,Resistant to Rapamycin Deletion,Saccharomyces cerevisiae,855951,,Decrease,Unannotated
1143,RRG8,Required for Respiratory Growth,Saccharomyces cerevisiae,856232,,Decrease,Unannotated
1144,RRT12,Regulator of rDNA Transcription,Saccharomyces cerevisiae,850412,,Decrease,Unannotated
1145,RSM24,Ribosomal Small subunit of Mitochondria,Saccharomyces cerevisiae,851755,,Decrease,Unannotated
1146,RTC6,Restriction of Telomere Capping,Saccharomyces cerevisiae,855918,,Decrease,Unannotated
1147,RTG2,ReTroGrade regulation,Saccharomyces cerevisiae,852640,,Decrease,Unannotated
1148,RTN1,ReTiculoN-like,Saccharomyces cerevisiae,851819,,Increase and Decrease,Anti-Longevity
1149,RTT10,Regulator of Ty1 Transposition,Saccharomyces cerevisiae,855919,,Decrease,Unannotated
1150,SAK1,Snf1 Activating Kinase,Saccharomyces cerevisiae,856866,,Decrease,Unannotated
1151,SCJ1,S. Cerevisiae DnaJ,Saccharomyces cerevisiae,855254,,Decrease,Unannotated
1152,SET3,SET domain-containing,Saccharomyces cerevisiae,853900,,Decrease,Unannotated
1153,SGF29,SaGa associated Factor,Saccharomyces cerevisiae,850347,,Decrease,Unannotated
1154,SHM2,Serine HydroxyMethyltransferase,Saccharomyces cerevisiae,850747,,Increase and Decrease,Anti-Longevity
1155,SIP3,SNF1-Interacting Protein,Saccharomyces cerevisiae,855464,,Decrease,Unannotated
1156,SKN7,Suppressor of Kre Null,Saccharomyces cerevisiae,856613,,Decrease,Unannotated
1157,SMI1,Suppressor of MAR Inhibitor,Saccharomyces cerevisiae,853144,,Decrease,Unannotated
1158,SOL2,Suppressor Of Los1-1,Saccharomyces cerevisiae,850437,,Decrease,Unannotated
1159,SSA4,Stress-Seventy subfamily A,Saccharomyces cerevisiae,856840,,Decrease,Unannotated
1160,SSK1,Suppressor of Sensor Kinase,Saccharomyces cerevisiae,850692,,Decrease,Unannotated
1161,SSK2,Suppressor of Sensor Kinase,Saccharomyces cerevisiae,855765,,Decrease,Unannotated
1162,SSP120,Ssp120p,Saccharomyces cerevisiae,850952,,Decrease,Unannotated
1163,SWS2,Sick Without Securin,Saccharomyces cerevisiae,855643,,Decrease,Unannotated
1164,SXM1,Suppressor of mRNA eXport Mutant,Saccharomyces cerevisiae,852004,,Decrease,Unannotated
1165,SYS1,Sys1p,Saccharomyces cerevisiae,853453,,Decrease,Unannotated
1166,TED1,Trafficking of Emp24p/Erv25p-dependent cargo Disrupted,Saccharomyces cerevisiae,854772,,Decrease,Unannotated
1167,TIF2,Translation Initiation Factor,Saccharomyces cerevisiae,853303,,Increase and Decrease,Anti-Longevity
1168,TOM71,Translocase of the Outer Mitochondrial membrane,Saccharomyces cerevisiae,856517,,Decrease,Unannotated
1169,TRM44,TRna Methyltransferase,Saccharomyces cerevisiae,856077,,Decrease,Unannotated
1170,UBI4,Ubiquitin,Saccharomyces cerevisiae,850620,,Decrease,Unannotated
1171,UBP8,UBiquitin-specific processing Protease,Saccharomyces cerevisiae,855263,,Decrease,Unannotated
1172,UBX4,UBiquitin regulatory X,Saccharomyces cerevisiae,855089,,Decrease,Unannotated
1173,UFD2,Ubiquitin Fusion Degradation,Saccharomyces cerevisiae,851337,,Decrease,Unannotated
1174,UPS2,UnProceSsed,Saccharomyces cerevisiae,850865,,Decrease,Unannotated
1175,VAB2,VAc8p Binding,Saccharomyces cerevisiae,856713,,Decrease,Unannotated
1176,VAC17,VACuole related,Saccharomyces cerevisiae,850296,,Decrease,Unannotated
1177,VHS1,Viable in a Hal3 Sit4 background,Saccharomyces cerevisiae,851834,,Increase and Decrease,Anti-Longevity
1178,VHS3,Viable in a Hal3 Sit4 background,Saccharomyces cerevisiae,854220,,Decrease,Unannotated
1179,VID30,Vacuolar Import and Degradation,Saccharomyces cerevisiae,852624,,Increase and Decrease,Anti-Longevity
1180,VPS21,Vacuolar Protein Sorting,Saccharomyces cerevisiae,854256,,Decrease,Unannotated
1181,VPS25,Vacuolar Protein Sorting,Saccharomyces cerevisiae,853566,,Decrease,Unannotated
1182,VPS27,Vacuolar Protein Sorting,Saccharomyces cerevisiae,855739,,Decrease,Unannotated
1183,VPS8,Vacuolar Protein Sorting,Saccharomyces cerevisiae,851261,,Decrease,Unannotated
1184,VTA1,VpsTwenty Associated,Saccharomyces cerevisiae,850878,,Decrease,Unannotated
1185,WHI3,WHIskey,Saccharomyces cerevisiae,855524,25,Decrease,Unannotated
1186,YBR056W,17-beta-hydroxysteroid dehydrogenase-like protein,Saccharomyces cerevisiae,852346,,Decrease,Unannotated
1187,YCP4,Ycp4p,Saccharomyces cerevisiae,850360,,Decrease,Unannotated
1188,YCR043C,hypothetical protein,Saccharomyces cerevisiae,850410,,Decrease,Unannotated
1189,YCR050C,hypothetical protein,Saccharomyces cerevisiae,850417,,Decrease,Unannotated
1190,YDL057W,hypothetical protein,Saccharomyces cerevisiae,851502,,Decrease,Unannotated
1191,YGL010W,hypothetical protein,Saccharomyces cerevisiae,852874,,Decrease,Unannotated
1192,YGL235W,hypothetical protein,Saccharomyces cerevisiae,852615,,Increase and Decrease,Anti-Longevity
1193,YGR053C,hypothetical protein,Saccharomyces cerevisiae,852944,,Decrease,Unannotated
1194,YHL008C,hypothetical protein,Saccharomyces cerevisiae,856381,,Decrease,Unannotated
1195,YIL077C,hypothetical protein,Saccharomyces cerevisiae,854733,,Decrease,Unannotated
1196,YJL147C,hypothetical protein,Saccharomyces cerevisiae,853294,,Decrease,Unannotated
1197,ESL2,Est1A/B-Smg6/5-Like,Saccharomyces cerevisiae,853971,,Decrease,Unannotated
1198,YLR312C,hypothetical protein,Saccharomyces cerevisiae,851021,,Decrease,Unannotated
1199,YMR084W,hypothetical protein,Saccharomyces cerevisiae,855108,,Decrease,Unannotated
1200,YMR099C,glucose-6-phosphate 1-epimerase,Saccharomyces cerevisiae,855125,,Decrease,Unannotated
1201,COA6,Cytochrome Oxidase Assembly,Saccharomyces cerevisiae,855287,,Decrease,Unannotated
1202,ROY1,Repressor Of Ypt52,Saccharomyces cerevisiae,855300,,Decrease,Unannotated
1203,YNL190W,hypothetical protein,Saccharomyces cerevisiae,855531,,Decrease,Unannotated
1204,YOR052C,hypothetical protein,Saccharomyces cerevisiae,854217,,Decrease,Unannotated
1205,YPL150W,non-specific serine/threonine protein kinase,Saccharomyces cerevisiae,855953,,Decrease,Unannotated
1206,YPL225W,hypothetical protein,Saccharomyces cerevisiae,855876,,Decrease,Unannotated
1207,YPR153W,hypothetical protein,Saccharomyces cerevisiae,856276,,Decrease,Unannotated
1208,YPT7,Yeast Protein Two,Saccharomyces cerevisiae,855012,40,Decrease,Unannotated
1209,ADE17,ADEnine requiring,Saccharomyces cerevisiae,855149,,Decrease,Unannotated
1210,ADK1,ADenylate Kinase,Saccharomyces cerevisiae,851812,,Decrease,Unannotated
1211,AIM36,Altered Inheritance rate of Mitochondria,Saccharomyces cerevisiae,855189,,Decrease,Unannotated
1212,APE3,AminoPEptidase,Saccharomyces cerevisiae,852589,,Decrease,Unannotated
1213,ATG10,AuTophaGy related,Saccharomyces cerevisiae,850684,,Decrease,Unannotated
1214,ATG13,AuTophaGy related,Saccharomyces cerevisiae,856315,,Decrease,Unannotated
1215,ATG14,AuTophaGy related,Saccharomyces cerevisiae,852425,,Decrease,Unannotated
1216,ATG2,AuTophaGy related,Saccharomyces cerevisiae,855479,,Decrease,Unannotated
1217,ATG29,AuTophaGy related,Saccharomyces cerevisiae,855937,,Decrease,Unannotated
1218,ATG7,AuTophaGy related,Saccharomyces cerevisiae,856576,70,Decrease,Unannotated
1219,ATG9,AuTophaGy related,Saccharomyces cerevisiae,851406,,Decrease,Unannotated
1220,BPH1,Beige Protein Homolog,Saccharomyces cerevisiae,850398,,Decrease,Unannotated
1221,CBP2,Cytochrome B mRNA Processing,Saccharomyces cerevisiae,856347,,Decrease,Unannotated
1222,COQ10,COenzyme Q,Saccharomyces cerevisiae,854154,,Decrease,Unannotated
1223,COR1,CORe protein of QH2 cytochrome c reductase,Saccharomyces cerevisiae,852235,,Decrease,Unannotated
1224,CTR1,Copper TRansport,Saccharomyces cerevisiae,856241,,Increase and Decrease,Pro-Longevity
1225,DID2,Doa4-Independent Degradation,Saccharomyces cerevisiae,853906,,Decrease,Unannotated
1226,DSS1,Deletion of SUV3 Supressor,Saccharomyces cerevisiae,855331,,Increase and Decrease,Anti-Longevity
1227,DUG2,Deficient in Utilization of Glutathione,Saccharomyces cerevisiae,852584,,Decrease,Unannotated
1228,ECM33,ExtraCellular Mutant,Saccharomyces cerevisiae,852370,,Decrease,Unannotated
1229,EUG1,ER protein Unnecessary for Growth,Saccharomyces cerevisiae,852130,,Increase and Decrease,Anti-Longevity
1230,EXO1,EXOnuclease,Saccharomyces cerevisiae,854198,,Decrease,Unannotated
1231,FAT1,FATty acid transporter,Saccharomyces cerevisiae,852329,,Decrease,Unannotated
1232,FUM1,FUMarase,Saccharomyces cerevisiae,855866,,Decrease,Unannotated
1233,GEP3,GEnetic interactors of Prohibitins,Saccharomyces cerevisiae,854380,,Decrease,Unannotated
1234,GET2,Guided Entry of Tailanchored proteins,Saccharomyces cerevisiae,856817,,Decrease,Unannotated
1235,HER2,Hmg2p ER Remodeling,Saccharomyces cerevisiae,855338,,Decrease,Unannotated
1236,HMI1,Helicase in MItochondria,Saccharomyces cerevisiae,854058,,Decrease,Unannotated
1237,HRD3,HMG-coA Reductase Degradation,Saccharomyces cerevisiae,850904,,Decrease,Unannotated
1238,HTD2,Hydroxyacyl-Thioester Dehydratase,Saccharomyces cerevisiae,856464,,Decrease,Unannotated
1239,HXT5,HeXose Transporter,Saccharomyces cerevisiae,856496,,Decrease,Unannotated
1240,INO4,INOsitol requiring,Saccharomyces cerevisiae,854042,,Decrease,Unannotated
1241,ISC1,Inositol phosphoSphingolipid phospholipase C,Saccharomyces cerevisiae,856739,,Decrease,Pro-Longevity
1242,JID1,DnaJ protein Involved in ER-associated Degradation,Saccharomyces cerevisiae,856174,,Decrease,Unannotated
1243,KEX2,Killer EXpression defective,Saccharomyces cerevisiae,855483,,Decrease,Unannotated
1244,LAS21,Local Anestheticum Sensitive,Saccharomyces cerevisiae,853384,,Decrease,Unannotated
1245,LPD1,LiPoamide Dehydrogenase ,Saccharomyces cerevisiae,850527,,Decrease,Unannotated
1246,LSM6,Like SM,Saccharomyces cerevisiae,851984,,Decrease,Unannotated
1247,MCH5,MonoCarboxylate transporter Homologue,Saccharomyces cerevisiae,854483,,Decrease,Unannotated
1248,MIS1,MItochondrial C1-tetrahydrofolate Synthase,Saccharomyces cerevisiae,852378,,Decrease,Unannotated
1249,MNE1,Mne1p,Saccharomyces cerevisiae,854532,,Decrease,Unannotated
1250,MON2,MONensin sensitivity,Saccharomyces cerevisiae,855420,,Decrease,Unannotated
1251,MRP1,Mitochondrial Ribosomal Protein,Saccharomyces cerevisiae,851948,,Decrease,Unannotated
1252,MRP51,Mitochondrial Ribosomal Protein,Saccharomyces cerevisiae,855985,,Decrease,Unannotated
1253,MRPL11,"Mitochondrial Ribosomal Protein, Large subunit",Saccharomyces cerevisiae,851325,,Decrease,Unannotated
1254,MRPL22,"Mitochondrial Ribosomal Protein, Large subunit",Saccharomyces cerevisiae,855544,,Decrease,Unannotated
1255,MRPL24,"Mitochondrial Ribosomal Protein, Large subunit",Saccharomyces cerevisiae,855231,,Decrease,Unannotated
1256,MRPL32,"Mitochondrial Ribosomal Protein, Large subunit",Saccharomyces cerevisiae,850359,,Decrease,Unannotated
1257,MRS2,Mitochondrial RNA Splicing,Saccharomyces cerevisiae,854511,,Decrease,Unannotated
1258,MTC7,Maintenance of Telomere Capping,Saccharomyces cerevisiae,856678,,Decrease,Unannotated
1259,NAM2,Nuclear Accommodation of Mitochondria,Saccharomyces cerevisiae,851098,,Decrease,Unannotated
1260,NMD2,Nonsense-mediated MRNA Decay,Saccharomyces cerevisiae,856476,,Decrease,Unannotated
1261,PET117,PETite colonies,Saccharomyces cerevisiae,856786,,Decrease,Unannotated
1262,PEX14,PEroXisome related,Saccharomyces cerevisiae,852724,,Decrease,Unannotated
1263,PEX2,PEroXin,Saccharomyces cerevisiae,853219,,Decrease,Unannotated
1264,PHO23,PHOsphate metabolism,Saccharomyces cerevisiae,855626,,Decrease,Unannotated
1265,PPA2,PyroPhosphatAse,Saccharomyces cerevisiae,855309,,Decrease,Unannotated
1266,PUN1,Plasma membrane protein Upregulated during Nitrogen stress,Saccharomyces cerevisiae,851132,,Decrease,Unannotated
1267,QRI5,Qri5p,Saccharomyces cerevisiae,850901,,Decrease,Unannotated
1268,RAD10,RADiation sensitive,Saccharomyces cerevisiae,854878,,Decrease,Unannotated
1269,RAD4,RADiation sensitive,Saccharomyces cerevisiae,856909,,Decrease,Unannotated
1270,RPP2A,Ribosomal Protein P2 Alpha,Saccharomyces cerevisiae,854118,,Increase and Decrease,Anti-Longevity
1271,RRG7,Required for Respiratory Growth,Saccharomyces cerevisiae,854482,,Decrease,Unannotated
1272,RRG9,Required for Respiratory Growth,Saccharomyces cerevisiae,855508,,Decrease,Unannotated
1273,RSM18,Ribosomal Small subunit of Mitochondria,Saccharomyces cerevisiae,856776,,Decrease,Unannotated
1274,RTC2,Restriction of Telomere Capping,Saccharomyces cerevisiae,852444,,Decrease,Unannotated
1275,SAG1,Sexual AGglutination,Saccharomyces cerevisiae,853460,,Decrease,Unannotated
1276,SCP160,S. cerevisiae protein involved in the Control of Ploidy,Saccharomyces cerevisiae,853365,,Increase and Decrease,Anti-Longevity
1277,SEC66,SECretory,Saccharomyces cerevisiae,852469,,Decrease,Unannotated
1278,SHY1,SURF Homolog of Yeast,Saccharomyces cerevisiae,853009,,Decrease,Unannotated
1279,SPT8,SuPpressor of Ty,Saccharomyces cerevisiae,850744,,Decrease,Unannotated
1280,SRO77,Suppressor of rho3,Saccharomyces cerevisiae,852168,,Decrease,Unannotated
1281,SSO2,Sso2p,Saccharomyces cerevisiae,855221,,Decrease,Unannotated
1282,SWE1,Saccharomyces WEe1,Saccharomyces cerevisiae,853252,,Decrease,Unannotated
1283,TAN1,Trna AcetylatioN,Saccharomyces cerevisiae,852619,,Decrease,Unannotated
1284,THR4,THReonine requiring,Saccharomyces cerevisiae,850420,,Decrease,Unannotated
1285,TOS8,Target Of Sbf,Saccharomyces cerevisiae,852783,,Increase and Decrease,Anti-Longevity
1286,TRX1,ThioRedoXin,Saccharomyces cerevisiae,850732,50,Decrease,Unannotated
1287,UBC8,UBiquitin-Conjugating,Saccharomyces cerevisiae,856704,50,Decrease,Unannotated
1288,UPF3,UP Frameshift,Saccharomyces cerevisiae,852963,,Decrease,Unannotated
1289,VAC8,VACuole related,Saccharomyces cerevisiae,856702,,Decrease,Unannotated
1290,VAM10,VAcuolar Morphogenesis,Saccharomyces cerevisiae,854234,,Decrease,Unannotated
1291,VPS30,Vacuolar Protein Sorting,Saccharomyces cerevisiae,855983,,Decrease,Unannotated
1292,VPS38,Vacuolar Protein Sorting,Saccharomyces cerevisiae,851074,,Decrease,Unannotated
1293,VPS62,Vacuolar Protein Sorting,Saccharomyces cerevisiae,853042,,Decrease,Unannotated
1294,YBR284W,metallo-dependent hydrolase superfamily protein,Saccharomyces cerevisiae,852587,,Decrease,Unannotated
1295,VMS1,VCP/Cdc48-associated Mitochondrial Stress-responsive,Saccharomyces cerevisiae,851618,25,Decrease,Unannotated
1296,YGR250C,hypothetical protein,Saccharomyces cerevisiae,853165,,Decrease,Unannotated
1297,YIH1,Yeast Impact Homolog,Saccharomyces cerevisiae,850423,,Decrease,Unannotated
1298,YKL023W,hypothetical protein,Saccharomyces cerevisiae,853845,,Decrease,Unannotated
1299,ADA2,transcriptional ADAptor,Saccharomyces cerevisiae,852059,50,Decrease,Unannotated
1300,ALD3,ALdehyde Dehydrogenase,Saccharomyces cerevisiae,855205,,Decrease,Unannotated
1301,ARD1,ARrest Defective,Saccharomyces cerevisiae,856404,,Decrease,Unannotated
1302,ATG12,AuTophaGy related,Saccharomyces cerevisiae,852518,,Decrease,Unannotated
1303,ATG16,AuTophaGy related,Saccharomyces cerevisiae,855194,,Decrease,Unannotated
1304,ATG18,AuTophaGy related,Saccharomyces cerevisiae,850577,50,Decrease,Unannotated
1305,ATG5,AuTophaGy related,Saccharomyces cerevisiae,855954,,Decrease,Unannotated
1306,ATG8,AuTophaGy related,Saccharomyces cerevisiae,852200,,Decrease,Unannotated
1307,CIT2,CITrate synthase,Saccharomyces cerevisiae,850361,,Decrease,Unannotated
1308,ECM34,ExtraCellular Mutant,Saccharomyces cerevisiae,856342,,Decrease,Unannotated
1309,FAR7,Factor ARrest,Saccharomyces cerevisiae,850559,,Increase and Decrease,Anti-Longevity
1310,FET3,FErrous Transport,Saccharomyces cerevisiae,855080,,Decrease,Unannotated
1311,FMC1,Formation of Mitochondrial Complexes,Saccharomyces cerevisiae,854709,,Decrease,Unannotated
1312,FTR1,Fe TRansporter,Saccharomyces cerevisiae,856888,,Decrease,Unannotated
1313,HRD1,HMG-coA Reductase Degradation,Saccharomyces cerevisiae,854149,,Increase and Decrease,Anti-Longevity
1314,MDM20,Mitochondrial Distribution and Morphology,Saccharomyces cerevisiae,854079,,Decrease,Unannotated
1315,NFU1,NifU-like protein,Saccharomyces cerevisiae,853826,,Decrease,Unannotated
1316,PHO2,PHOsphate metabolism,Saccharomyces cerevisiae,851452,25,Decrease,Unannotated
1317,PHO85,PHOsphate metabolism,Saccharomyces cerevisiae,856076,45,Decrease,Unannotated
1318,PMS1,PostMeiotic Segregation,Saccharomyces cerevisiae,855642,,Decrease,Unannotated
1319,POG1,Promoter Of Growth,Saccharomyces cerevisiae,854684,,Decrease,Unannotated
1320,RIM11,Regulator of IME2,Saccharomyces cerevisiae,855170,,Decrease,Unannotated
1321,RSF2,ReSpiration Factor,Saccharomyces cerevisiae,853592,,Decrease,Unannotated
1322,RTG1,ReTroGrade regulation,Saccharomyces cerevisiae,854087,,Decrease,Unannotated
1323,SIC1,Substrate/Subunit Inhibitor of Cyclin-dependent protein kinase,Saccharomyces cerevisiae,850768,,Decrease,Unannotated
1324,SIF2,Sir4p-Interacting Factor,Saccharomyces cerevisiae,852399,,Decrease,Unannotated
1325,SKO1,Suppressor of Kinase Overexpression,Saccharomyces cerevisiae,855554,,Decrease,Unannotated
1326,SUR1,SUppressor of Rvs161 and rvs167 mutations,Saccharomyces cerevisiae,856050,,Decrease,Unannotated
1327,SWI6,SWItching deficient,Saccharomyces cerevisiae,850879,,Decrease,Unannotated
1328,SYC1,Similar to Ysh1 C-terminal,Saccharomyces cerevisiae,854351,,Decrease,Unannotated
1329,TCM62,TriCarboxylic acid cycle Mutant,Saccharomyces cerevisiae,852332,,Decrease,Unannotated
1330,VPS24,Vacuolar Protein Sorting,Saccharomyces cerevisiae,853825,,Decrease,Unannotated
1331,VPS41,Vacuolar Protein Sorting,Saccharomyces cerevisiae,851653,40,Decrease,Unannotated
1332,ADE1,ADEnine requiring,Saccharomyces cerevisiae,851272,,Increase,Anti-Longevity
1333,ADE12,ADEnine requiring,Saccharomyces cerevisiae,855501,,Increase,Anti-Longevity
1334,ADE2,ADEnine requiring,Saccharomyces cerevisiae,854295,,Increase,Anti-Longevity
1335,ADE4,ADEnine requiring,Saccharomyces cerevisiae,855346,,Increase,Anti-Longevity
1336,"ADE5,7",ADEnine requiring,Saccharomyces cerevisiae,852617,,Increase,Anti-Longevity
1337,ADE6,ADEnine requiring,Saccharomyces cerevisiae,852952,,Increase,Anti-Longevity
1338,AMD1,AMP Deaminase,Saccharomyces cerevisiae,854973,,Increase,Anti-Longevity
1339,APT1,Adenine PhosphoribosylTransferase,Saccharomyces cerevisiae,854986,,Increase,Anti-Longevity
1340,BAS1,BASal,Saccharomyces cerevisiae,853974,30,Increase,Anti-Longevity
1341,BNA2,Biosynthesis of Nicotinic Acid,Saccharomyces cerevisiae,853541,,Increase,Anti-Longevity
1342,ERV2,Essential for Respiration and Viability,Saccharomyces cerevisiae,856152,,Increase,Anti-Longevity
1343,FCY2,FluoroCYtosine resistance,Saccharomyces cerevisiae,856783,,Increase,Anti-Longevity
1344,FCY21,FluoroCYtosine resistance,Saccharomyces cerevisiae,856788,,Increase,Anti-Longevity
1345,HNM1,Hyper-resistance to Nitrogen Mustard,Saccharomyces cerevisiae,852803,,Increase,Anti-Longevity
1346,IDP1,"Isocitrate Dehydrogenase, NADP-specific",Saccharomyces cerevisiae,851493,15,Increase,Anti-Longevity
1347,PCL7,Pho85 CycLin,Saccharomyces cerevisiae,854761,,Increase,Anti-Longevity
1348,PDR18,Pleiotropic Drug Resistance,Saccharomyces cerevisiae,855807,,Increase,Anti-Longevity
1349,SPO22,SPOrulation,Saccharomyces cerevisiae,854737,,Increase,Anti-Longevity
1350,SWC3,SWr Complex,Saccharomyces cerevisiae,851222,,Increase and Decrease,Anti-Longevity
1351,TGL3,TriacylGlycerol Lipase,Saccharomyces cerevisiae,855361,,Increase,Anti-Longevity
1352,UAF30,Upstream Activation Factor subunit,Saccharomyces cerevisiae,854470,,Increase,Anti-Longevity
1353,VPS5,Vacuolar Protein Sorting,Saccharomyces cerevisiae,854235,,Increase,Anti-Longevity
1354,VPS70,Vacuolar Protein Sorting,Saccharomyces cerevisiae,853590,,Increase,Anti-Longevity
1355,VPS75,Vacuolar Protein Sorting,Saccharomyces cerevisiae,855475,,Increase,Anti-Longevity
1356,LCL1,Long Chronological Lifespan,Saccharomyces cerevisiae,856051,,Increase,Anti-Longevity
1357,ALT2,ALanine Transaminase,Saccharomyces cerevisiae,851690,50,Decrease,Unannotated
1358,APM1,clathrin Adaptor Protein complex Medium chain,Saccharomyces cerevisiae,855869,50,Decrease,Unannotated
1359,ARF1,ADP-Ribosylation Factor,Saccharomyces cerevisiae,851335,50,Decrease,Unannotated
1360,CHD1,"Chromatin organization modifier, Helicase, and DNA-binding domains",Saccharomyces cerevisiae,856911,,Increase and Decrease,Anti-Longevity
1361,CLB1,CycLin B,Saccharomyces cerevisiae,853002,50,Decrease,Unannotated
1362,DBP1,Dead Box Protein,Saccharomyces cerevisiae,855984,50,Decrease,Unannotated
1363,ERG24,ERGosterol biosynthesis,Saccharomyces cerevisiae,855441,50,Decrease,Unannotated
1364,GSY2,Glycogen SYnthase,Saccharomyces cerevisiae,850962,50,Decrease,Unannotated
1365,HRT3,High level expression Reduces Ty3 transposition,Saccharomyces cerevisiae,850786,50,Decrease,Unannotated
1366,IDP2,"Isocitrate Dehydrogenase, NADP-specific",Saccharomyces cerevisiae,850871,,Increase and Decrease,Anti-Longevity
1367,INP53,INositol polyphosphate 5-Phosphatase,Saccharomyces cerevisiae,854276,50,Decrease,Unannotated
1368,LHS1,Lumenal Hsp Seventy,Saccharomyces cerevisiae,853789,50,Decrease,Unannotated
1369,MRE11,Meiotic REcombination,Saccharomyces cerevisiae,855264,50,Decrease,Unannotated
1370,MRT4,mRNA Turnover 4,Saccharomyces cerevisiae,853860,50,Decrease,Unannotated
1371,MSH2,MutS Homolog,Saccharomyces cerevisiae,854063,50,Decrease,Unannotated
1372,NPL3,Nuclear Protein Localization,Saccharomyces cerevisiae,852042,50,Decrease,Unannotated
1373,PTC5,Phosphatase Two C,Saccharomyces cerevisiae,854257,50,Decrease,Unannotated
1374,RNR3,RiboNucleotide Reductase,Saccharomyces cerevisiae,854744,50,Decrease,Unannotated
1375,RPL37A,Ribosomal Protein of the Large subunit,Saccharomyces cerevisiae,850882,50,Decrease,Unannotated
1376,SGT2,Small Glutamine-rich Tetratricopeptide repeat-containing protein,Saccharomyces cerevisiae,854168,50,Decrease,Unannotated
1377,SIZ1,SAP and mIZ-finger domain,Saccharomyces cerevisiae,852018,50,Decrease,Unannotated
1378,SPE2,SPErmidine auxotroph,Saccharomyces cerevisiae,854105,50,Decrease,Unannotated
1379,SSF1,Suppressor of ste4 (Four),Saccharomyces cerevisiae,856463,,Increase and Decrease,Anti-Longevity
1380,SSN3,Suppressor of SNf1,Saccharomyces cerevisiae,856065,50,Decrease,Unannotated
1381,SSO1,Sso1p,Saccharomyces cerevisiae,855844,50,Decrease,Unannotated
1382,SYM1,Stress-inducible Yeast Mpv17,Saccharomyces cerevisiae,850953,50,Decrease,Unannotated
1383,TIF1,Translation Initiation Factor,Saccharomyces cerevisiae,853933,,Increase and Decrease,Anti-Longevity
1384,TWF1,TWinFilin,Saccharomyces cerevisiae,852971,50,Decrease,Unannotated
1385,DIF1,Damage-regulated Import Facilitator,Saccharomyces cerevisiae,851157,20,Decrease,Unannotated
1386,FMP46,Found in Mitochondrial Proteome,Saccharomyces cerevisiae,853923,20,Decrease,Unannotated
1387,GAS1,Glycophospholipid-Anchored Surface protein,Saccharomyces cerevisiae,855355,20,Decrease,Unannotated
1388,MRPL39,"Mitochondrial Ribosomal Protein, Large subunit",Saccharomyces cerevisiae,855002,20,Decrease,Unannotated
1389,PAC10,Protein required in the Absence of Cin8p,Saccharomyces cerevisiae,852969,20,Decrease,Unannotated
1390,PDA1,Pyruvate Dehydrogenase Alpha,Saccharomyces cerevisiae,856925,20,Decrease,Unannotated
1391,PPH3,Protein PHosphatase,Saccharomyces cerevisiae,851647,20,Decrease,Unannotated
1392,TPC1,Thiamine Pyrophosphate Carrier,Saccharomyces cerevisiae,852988,20,Decrease,Unannotated
1393,AAH1,Adenine AminoHydrolase,Saccharomyces cerevisiae,855581,,Increase,Anti-Longevity
1394,DCW1,Defective Cell Wall,Saccharomyces cerevisiae,853820,,Increase,Anti-Longevity
1395,FCY1,FluoroCYtosine resistance,Saccharomyces cerevisiae,856175,,Increase,Anti-Longevity
1396,HPT1,Hypoxanthine guanine PhosphoribosylTransferase,Saccharomyces cerevisiae,852008,,Increase,Anti-Longevity
1397,ISW1,Imitation SWitch subfamily,Saccharomyces cerevisiae,852547,,Increase and Decrease,Anti-Longevity
1398,MTD1,Methylene Tetrahydrafolate Dehydrogenase,Saccharomyces cerevisiae,853955,,Increase,Anti-Longevity
1399,MUM2,MUddled Meiosis,Saccharomyces cerevisiae,852348,,Increase,Anti-Longevity
1400,RGT1,Restores Glucose Transport,Saccharomyces cerevisiae,853828,,Increase,Anti-Longevity
1401,RGT2,Restores Glucose Transport,Saccharomyces cerevisiae,851417,,Increase,Anti-Longevity
1402,SAS4,Something About Silencing,Saccharomyces cerevisiae,851762,,Increase,Anti-Longevity
1403,SDS23,homolog of S. pombe SDS23,Saccharomyces cerevisiae,852824,,Increase,Anti-Longevity
1404,SHM1,Serine HydroxyMethyltransferase,Saccharomyces cerevisiae,852565,,Increase and Decrease,Anti-Longevity
1405,SIP1,SNF1-Interacting Protein,Saccharomyces cerevisiae,852032,,Increase and Decrease,Unclear
1406,SNF3,Sucrose NonFermenting,Saccharomyces cerevisiae,851333,,Increase,Anti-Longevity
1407,SNX3,Sorting NeXin,Saccharomyces cerevisiae,854539,,Increase,Anti-Longevity
1408,SNX41,Sorting NeXin,Saccharomyces cerevisiae,852035,,Increase,Anti-Longevity
1409,USV1,Up in StarVation,Saccharomyces cerevisiae,855871,,Increase,Anti-Longevity
1410,LCL3,Long Chronological Lifespan 3,Saccharomyces cerevisiae,852795,,Increase,Anti-Longevity
